R,Z
0.87671,-0.25407
0.87921,-0.50728
0.8834,-0.75877
0.8893,-1.0077
0.89696,-1.25321
0.90643,-1.49449
0.91779,-1.73071
0.9311,-1.96107
0.94645,-2.18479
0.96394,-2.40113
0.98367,-2.60934
1.00575,-2.80872
1.03031,-2.99859
1.05745,-3.17832
1.08731,-3.3473
1.12,-3.50495
1.15566,-3.65074
1.19439,-3.78417
1.23631,-3.90481
1.28153,-4.01223
1.33012,-4.10607
1.38216,-4.18602
1.4377,-4.25181
1.49677,-4.3032
1.55937,-4.34004
1.62546,-4.3622
1.69499,-4.36959
1.76784,-4.3622
1.84388,-4.34004
1.92291,-4.3032
2.00469,-4.25181
2.08894,-4.18602
2.17532,-4.10607
2.26346,-4.01223
2.35291,-3.90481
2.4432,-3.78417
2.53381,-3.65074
2.62416,-3.50495
2.71365,-3.3473
2.80166,-3.17832
2.88753,-2.99859
2.97059,-2.80872
3.05015,-2.60934
3.12556,-2.40113
3.19613,-2.18479
3.26125,-1.96107
3.32029,-1.73071
3.37271,-1.49449
3.41798,-1.25321
3.45566,-1.0077
3.48538,-0.75877
3.50683,-0.50728
3.51978,-0.25407
3.52412,-0.0
3.51978,0.25407
3.50683,0.50728
3.48538,0.75877
3.45566,1.0077
3.41798,1.25321
3.37271,1.49449
3.32029,1.73071
3.26125,1.96107
3.19613,2.18479
3.12556,2.40113
3.05015,2.60934
2.97059,2.80872
2.88753,2.99859
2.80166,3.17832
2.71365,3.3473
2.62416,3.50495
2.53381,3.65074
2.4432,3.78417
2.35291,3.90481
2.26346,4.01223
2.17532,4.10607
2.08894,4.18602
2.00469,4.25181
1.92291,4.3032
1.84388,4.34004
1.76784,4.3622
1.69499,4.36959
1.62546,4.3622
1.55937,4.34004
1.49677,4.3032
1.4377,4.25181
1.38216,4.18602
1.33012,4.10607
1.28153,4.01223
1.23631,3.90481
1.19439,3.78417
1.15566,3.65074
1.12,3.50495
1.08731,3.3473
1.05745,3.17832
1.03031,2.99859
1.00575,2.80872
0.98367,2.60934
0.96394,2.40113
0.94645,2.18479
0.9311,1.96107
0.91779,1.73071
0.90643,1.49449
0.89696,1.25321
0.8893,1.0077
0.8834,0.75877
0.87921,0.50728
0.87671,0.25407
