R,Z
3.3594,-0.02425
3.37958,-0.04979
3.41281,-0.07789
3.4585,-0.1098
3.51585,-0.14668
3.58386,-0.18964
3.6614,-0.23964
3.74719,-0.29754
3.83986,-0.36403
3.93802,-0.43959
4.04022,-0.52447
4.14506,-0.61863
4.25118,-0.72171
4.35728,-0.833
4.4622,-0.95139
4.56485,-1.07534
4.66431,-1.2029
4.75978,-1.33172
4.85061,-1.45909
4.93629,-1.582
5.01645,-1.69729
5.09085,-1.80175
5.15937,-1.89226
5.222,-1.96597
5.27881,-2.02049
5.32998,-2.05397
5.37573,-2.06526
5.41634,-2.05397
5.45213,-2.02049
5.48344,-1.96597
5.51065,-1.89226
5.53411,-1.80175
5.5542,-1.69729
5.57128,-1.582
5.58568,-1.45909
5.59774,-1.33172
5.60775,-1.2029
5.61601,-1.07534
5.62276,-0.95139
5.62823,-0.833
5.63264,-0.72171
5.63615,-0.61863
5.63892,-0.52447
5.64109,-0.43959
5.64278,-0.36403
5.64408,-0.29754
5.64507,-0.23964
5.64581,-0.18964
5.64636,-0.14668
5.64676,-0.1098
5.64704,-0.07789
5.64723,-0.04979
5.64733,-0.02425
5.64737,-0.0
5.64733,-0.0237
5.64723,-0.04546
5.64704,-0.06335
5.64676,-0.07551
5.64636,-0.08015
5.64581,-0.07559
5.64507,-0.06026
5.64408,-0.03274
5.64278,0.00823
5.64109,0.0637
5.63892,0.13448
5.63615,0.22107
5.63264,0.32358
5.62823,0.44163
5.62276,0.57428
5.61601,0.7199
5.60775,0.87611
5.59774,1.03975
5.58568,1.20687
5.57128,1.37284
5.5542,1.53244
5.53411,1.68016
5.51065,1.81046
5.48344,1.91813
5.45213,1.99862
5.41634,2.04841
5.37573,2.06526
5.32998,2.04841
5.27881,1.99862
5.222,1.91813
5.15937,1.81046
5.09085,1.68016
5.01645,1.53244
4.93629,1.37284
4.85061,1.20687
4.75978,1.03975
4.66431,0.87611
4.56485,0.7199
4.4622,0.57428
4.35728,0.44163
4.25118,0.32358
4.14506,0.22107
4.04022,0.13448
3.93802,0.0637
3.83986,0.00823
3.74719,-0.03274
3.6614,-0.06026
3.58386,-0.07559
3.51585,-0.08015
3.4585,-0.07551
3.41281,-0.06335
3.37958,-0.04546
3.3594,-0.0237
